FechaCol;PROVINCIA;ALFABETISMO
1/01/2019;CORONEL PORTILLO;0.134
1/01/2019;PADRE ABAD;0.263
1/01/2020;ATALAYA;0.13
1/01/2020;CORONEL PORTILLO;0.143
1/01/2020;PADRE ABAD;0.277
1/01/2020;PURUS;0
1/01/2021;ATALAYA;0.35
1/01/2021;CORONEL PORTILLO;0.167
1/01/2021;PADRE ABAD;0.28
1/01/2021;PURUS;0
1/01/2022;ATALAYA;0.255
1/01/2022;CORONEL PORTILLO;0.14
1/01/2022;PADRE ABAD;0.318
1/01/2022;PURUS;0
1/02/2019;CORONEL PORTILLO;0.139
1/02/2019;PADRE ABAD;0.254
1/02/2020;ATALAYA;0.128
1/02/2020;CORONEL PORTILLO;0.176
1/02/2020;PADRE ABAD;0.378
1/02/2020;PURUS;0.31
1/02/2021;ATALAYA;0.167
1/02/2021;CORONEL PORTILLO;0.168
1/02/2021;PADRE ABAD;0.256
1/02/2021;PURUS;0
1/02/2022;ATALAYA;0.167
1/02/2022;CORONEL PORTILLO;0.135
1/02/2022;PADRE ABAD;0.216
1/02/2022;PURUS;0
1/03/2019;CORONEL PORTILLO;0.222
1/03/2019;PADRE ABAD;0.364
1/03/2020;ATALAYA;0.143
1/03/2020;CORONEL PORTILLO;0.27
1/03/2020;PADRE ABAD;0.262
1/03/2020;PURUS;0
1/03/2021;ATALAYA;0.333
1/03/2021;CORONEL PORTILLO;0.19
1/03/2021;PADRE ABAD;0.307
1/03/2021;PURUS;0
1/03/2022;ATALAYA;0.135
1/03/2022;CORONEL PORTILLO;0.146
1/03/2022;PADRE ABAD;0.205
1/03/2022;PURUS;0
1/04/2019;CORONEL PORTILLO;0.233
1/04/2019;PADRE ABAD;0.056
1/04/2020;ATALAYA;0.314
1/04/2020;CORONEL PORTILLO;0.278
1/04/2020;PADRE ABAD;0.336
1/04/2020;PURUS;0
1/04/2021;ATALAYA;0.129
1/04/2021;CORONEL PORTILLO;0.203
1/04/2021;PADRE ABAD;0.25
1/04/2021;PURUS;0
1/04/2022;ATALAYA;0.224
1/04/2022;CORONEL PORTILLO;0.167
1/04/2022;PADRE ABAD;0.1
1/04/2022;PURUS;0
1/05/2019;CORONEL PORTILLO;0.24
1/05/2019;PADRE ABAD;0.212
1/05/2020;ATALAYA;0.552
1/05/2020;CORONEL PORTILLO;0.338
1/05/2020;PADRE ABAD;0.593
1/05/2020;PURUS;0
1/05/2021;ATALAYA;0.31
1/05/2021;CORONEL PORTILLO;0.218
1/05/2021;PADRE ABAD;0.188
1/05/2021;PURUS;0
1/05/2022;ATALAYA;0.291
1/05/2022;CORONEL PORTILLO;0.223
1/05/2022;PADRE ABAD;0.236
1/05/2022;PURUS;0
1/06/2019;CORONEL PORTILLO;0.229
1/06/2019;PADRE ABAD;0.143
1/06/2020;ATALAYA;0.619
1/06/2020;CORONEL PORTILLO;0.323
1/06/2020;PADRE ABAD;0.506
1/06/2020;PURUS;0
1/06/2021;ATALAYA;0.208
1/06/2021;CORONEL PORTILLO;0.154
1/06/2021;PADRE ABAD;0.25
1/06/2021;PURUS;0
1/06/2022;ATALAYA;0.25
1/06/2022;CORONEL PORTILLO;0.168
1/06/2022;PADRE ABAD;0.2
1/06/2022;PURUS;0
1/07/2019;CORONEL PORTILLO;0.19
1/07/2019;PADRE ABAD;0.394
1/07/2020;ATALAYA;0.385
1/07/2020;CORONEL PORTILLO;0.295
1/07/2020;PADRE ABAD;0.542
1/07/2020;PURUS;0
1/07/2021;ATALAYA;0.342
1/07/2021;CORONEL PORTILLO;0.228
1/07/2021;PADRE ABAD;0.259
1/07/2021;PURUS;0
1/07/2022;ATALAYA;0.214
1/07/2022;CORONEL PORTILLO;0.19
1/07/2022;PADRE ABAD;0.15
1/07/2022;PURUS;0
1/08/2019;CORONEL PORTILLO;0.161
1/08/2019;PADRE ABAD;0.219
1/08/2020;ATALAYA;0.615
1/08/2020;CORONEL PORTILLO;0.287
1/08/2020;PADRE ABAD;0.416
1/08/2020;PURUS;0.636
1/08/2021;ATALAYA;0.198
1/08/2021;CORONEL PORTILLO;0.192
1/08/2021;PADRE ABAD;0.317
1/08/2021;PURUS;0
1/08/2022;ATALAYA;0.198
1/08/2022;CORONEL PORTILLO;0.148
1/08/2022;PADRE ABAD;0.277
1/08/2022;PURUS;0
1/09/2019;CORONEL PORTILLO;0.118
1/09/2019;PADRE ABAD;0.154
1/09/2020;ATALAYA;0.352
1/09/2020;CORONEL PORTILLO;0.148
1/09/2020;PADRE ABAD;0.318
1/09/2020;PURUS;0
1/09/2021;ATALAYA;0.278
1/09/2021;CORONEL PORTILLO;0.203
1/09/2021;PADRE ABAD;0.247
1/09/2021;PURUS;0
1/09/2022;ATALAYA;0.236
1/09/2022;CORONEL PORTILLO;0.124
1/09/2022;PADRE ABAD;0.395
1/09/2022;PURUS;0
1/10/2019;CORONEL PORTILLO;0.19
1/10/2019;PADRE ABAD;0.296
1/10/2020;ATALAYA;0.302
1/10/2020;CORONEL PORTILLO;0.173
1/10/2020;PADRE ABAD;0.358
1/10/2020;PURUS;0
1/10/2021;ATALAYA;0.393
1/10/2021;CORONEL PORTILLO;0.15
1/10/2021;PADRE ABAD;0.467
1/10/2021;PURUS;0
1/10/2022;ATALAYA;0.351
1/10/2022;CORONEL PORTILLO;0.188
1/10/2022;PADRE ABAD;0.174
1/10/2022;PURUS;0
1/11/2019;CORONEL PORTILLO;0.26
1/11/2019;PADRE ABAD;0.091
1/11/2020;ATALAYA;0.286
1/11/2020;CORONEL PORTILLO;0.208
1/11/2020;PADRE ABAD;0.091
1/11/2020;PURUS;0
1/11/2021;ATALAYA;0.233
1/11/2021;CORONEL PORTILLO;0.162
1/11/2021;PADRE ABAD;0.235
1/11/2021;PURUS;0
1/11/2022;ATALAYA;0.233
1/11/2022;CORONEL PORTILLO;0.195
1/11/2022;PADRE ABAD;0.265
1/11/2022;PURUS;0
1/12/2019;CORONEL PORTILLO;0.186
1/12/2019;PADRE ABAD;0.208
1/12/2020;ATALAYA;0.25
1/12/2020;CORONEL PORTILLO;0.173
1/12/2020;PADRE ABAD;0.306
1/12/2020;PURUS;0
1/12/2021;ATALAYA;0.303
1/12/2021;CORONEL PORTILLO;0.166
1/12/2021;PADRE ABAD;0.3
1/12/2021;PURUS;0
1/12/2022;ATALAYA;0.196
1/12/2022;CORONEL PORTILLO;0.183
1/12/2022;PADRE ABAD;0.24
1/12/2022;PURUS;0
